Season_End_Year,Date,HomeTeam,HomeTeamJP,AwayTeam,AwayTeamJP,HomeGoals,AwayGoals,Result
1994,28/11/93,Ath Madrid,Aマドリード,La Coruna,デポルティーボ,0,1,2
1994,28/11/93,Celta,セルタ,Sevilla,セビージャ,2,1,0
1994,28/11/93,Lerida,リェイダ,Zaragoza,サラゴサ,0,1,2
1994,28/11/93,Logrones,ログローニョ,Albacete,アルバセテ,2,2,1
1994,28/11/93,Santander,サンタンデール,Valladolid,バジャドリード,5,1,0
1994,28/11/93,Sp Gijon,スポルティング,Real Madrid,Rマドリード,2,1,0
1994,28/11/93,Tenerife,テネリフェ,Osasuna,オサスナ,1,0,0
1994,28/11/93,Valencia,バレンシア,Sociedad,ソシエダ,0,0,1
1994,28/11/93,Vallecano,ラージョ,Barcelona,バルセロナ,2,4,2
1994,05/12/93,Albacete,アルバセテ,Valencia,バレンシア,3,1,0
1994,05/12/93,Barcelona,バルセロナ,Logrones,ログローニョ,2,2,1
1994,05/12/93,La Coruna,デポルティーボ,Santander,サンタンデール,1,0,0
1994,05/12/93,Osasuna,オサスナ,Lerida,リェイダ,1,0,0
1994,05/12/93,Oviedo,オビエド,Ath Madrid,Aマドリード,1,1,1
1994,05/12/93,Real Madrid,Rマドリード,Ath Bilbao,ビルバオ,2,1,0
1994,05/12/93,Sevilla,セビージャ,Sp Gijon,スポルティング,1,2,2
1994,05/12/93,Sociedad,ソシエダ,Celta,セルタ,2,1,0
1994,05/12/93,Valladolid,バジャドリード,Tenerife,テネリフェ,2,0,0
1994,05/12/93,Zaragoza,サラゴサ,Vallecano,ラージョ,4,1,0
1994,12/12/93,Ath Bilbao,ビルバオ,Ath Madrid,Aマドリード,3,2,0
1994,12/12/93,Celta,セルタ,Albacete,アルバセテ,1,4,2
1994,12/12/93,Lerida,リェイダ,Valladolid,バジャドリード,1,0,0
1994,12/12/93,Logrones,ログローニョ,Zaragoza,サラゴサ,2,2,1
1994,12/12/93,Real Madrid,Rマドリード,Sevilla,セビージャ,0,0,1
1994,12/12/93,Santander,サンタンデール,Oviedo,オビエド,1,2,2
1994,12/12/93,Sp Gijon,スポルティング,Sociedad,ソシエダ,3,2,0
1994,12/12/93,Tenerife,テネリフェ,La Coruna,デポルティーボ,0,1,2
1994,12/12/93,Valencia,バレンシア,Barcelona,バルセロナ,0,4,2
1994,12/12/93,Vallecano,ラージョ,Osasuna,オサスナ,1,0,0
1994,19/12/93,Albacete,アルバセテ,Sp Gijon,スポルティング,3,1,0
1994,19/12/93,Ath Madrid,Aマドリード,Santander,サンタンデール,4,0,0
1994,19/12/93,Barcelona,バルセロナ,Celta,セルタ,1,0,0
1994,19/12/93,La Coruna,デポルティーボ,Lerida,リェイダ,2,0,0
1994,19/12/93,Osasuna,オサスナ,Logrones,ログローニョ,1,3,2
1994,19/12/93,Oviedo,オビエド,Tenerife,テネリフェ,1,0,0
1994,19/12/93,Sevilla,セビージャ,Ath Bilbao,ビルバオ,1,3,2
1994,19/12/93,Sociedad,ソシエダ,Real Madrid,Rマドリード,2,0,0
1994,19/12/93,Valladolid,バジャドリード,Vallecano,ラージョ,1,3,2
1994,19/12/93,Zaragoza,サラゴサ,Valencia,バレンシア,1,0,0
1994,02/01/94,Ath Bilbao,ビルバオ,Santander,サンタンデール,1,2,2
1994,02/01/94,Celta,セルタ,Zaragoza,サラゴサ,1,0,0
1994,02/01/94,Lerida,リェイダ,Oviedo,オビエド,1,1,1
1994,02/01/94,Logrones,ログローニョ,Valladolid,バジャドリード,0,0,1
1994,02/01/94,Real Madrid,Rマドリード,Albacete,アルバセテ,2,0,0
1994,02/01/94,Sevilla,セビージャ,Sociedad,ソシエダ,1,0,0
1994,02/01/94,Sp Gijon,スポルティング,Barcelona,バルセロナ,2,0,0
1994,02/01/94,Tenerife,テネリフェ,Ath Madrid,Aマドリード,1,1,1
1994,02/01/94,Valencia,バレンシア,Osasuna,オサスナ,0,0,1
1994,02/01/94,Vallecano,ラージョ,La Coruna,デポルティーボ,0,0,1
1994,09/01/94,Albacete,アルバセテ,Sevilla,セビージャ,2,2,1
1994,09/01/94,Ath Bilbao,ビルバオ,Sociedad,ソシエダ,0,0,1
1994,09/01/94,Ath Madrid,Aマドリード,Lerida,リェイダ,0,0,1
1994,09/01/94,Barcelona,バルセロナ,Real Madrid,Rマドリード,5,0,0
1994,09/01/94,La Coruna,デポルティーボ,Logrones,ログローニョ,3,0,0
1994,09/01/94,Osasuna,オサスナ,Celta,セルタ,0,1,2
1994,09/01/94,Oviedo,オビエド,Vallecano,ラージョ,5,0,0
1994,09/01/94,Santander,サンタンデール,Tenerife,テネリフェ,1,0,0
1994,09/01/94,Valladolid,バジャドリード,Valencia,バレンシア,1,1,1
1994,09/01/94,Zaragoza,サラゴサ,Sp Gijon,スポルティング,3,0,0
1994,16/01/94,Celta,セルタ,Valladolid,バジャドリード,1,2,2
1994,16/01/94,Lerida,リェイダ,Santander,サンタンデール,0,0,1
1994,16/01/94,Logrones,ログローニョ,Oviedo,オビエド,2,2,1
1994,16/01/94,Real Madrid,Rマドリード,Zaragoza,サラゴサ,3,2,0
1994,16/01/94,Sevilla,セビージャ,Barcelona,バルセロナ,0,0,1
1994,16/01/94,Sociedad,ソシエダ,Albacete,アルバセテ,1,1,1
1994,16/01/94,Sp Gijon,スポルティング,Osasuna,オサスナ,7,1,0
1994,16/01/94,Tenerife,テネリフェ,Ath Bilbao,ビルバオ,2,1,0
1994,16/01/94,Valencia,バレンシア,La Coruna,デポルティーボ,1,3,2
1994,16/01/94,Vallecano,ラージョ,Ath Madrid,Aマドリード,2,1,0
1994,23/01/94,Albacete,アルバセテ,Ath Bilbao,ビルバオ,1,0,0
1994,23/01/94,Celta,セルタ,La Coruna,デポルティーボ,0,0,1
1994,23/01/94,Lerida,リェイダ,Tenerife,テネリフェ,1,1,1
1994,23/01/94,Logrones,ログローニョ,Ath Madrid,Aマドリード,1,0,0
1994,23/01/94,Real Madrid,Rマドリード,Osasuna,オサスナ,0,0,1
1994,23/01/94,Sevilla,セビージャ,Zaragoza,サラゴサ,0,1,2
1994,23/01/94,Sociedad,ソシエダ,Barcelona,バルセロナ,2,1,0
1994,23/01/94,Sp Gijon,スポルティング,Valladolid,バジャドリード,2,0,0
1994,23/01/94,Valencia,バレンシア,Oviedo,オビエド,2,2,1
1994,23/01/94,Vallecano,ラージョ,Santander,サンタンデール,1,1,1
1994,30/01/94,Ath Bilbao,ビルバオ,Lerida,リェイダ,4,0,0
1994,30/01/94,Ath Madrid,Aマドリード,Valencia,バレンシア,2,0,0
1994,30/01/94,Barcelona,バルセロナ,Albacete,アルバセテ,2,1,0
1994,30/01/94,La Coruna,デポルティーボ,Sp Gijon,スポルティング,2,1,0
1994,30/01/94,Osasuna,オサスナ,Sevilla,セビージャ,0,0,1
1994,30/01/94,Oviedo,オビエド,Celta,セルタ,1,0,0
1994,30/01/94,Santander,サンタンデール,Logrones,ログローニョ,0,0,1
1994,30/01/94,Tenerife,テネリフェ,Vallecano,ラージョ,3,1,0
1994,30/01/94,Valladolid,バジャドリード,Real Madrid,Rマドリード,0,0,1
1994,30/01/94,Zaragoza,サラゴサ,Sociedad,ソシエダ,3,0,0
1994,06/02/94,Albacete,アルバセテ,Zaragoza,サラゴサ,2,1,0
1994,06/02/94,Barcelona,バルセロナ,Ath Bilbao,ビルバオ,2,3,2
1994,06/02/94,Celta,セルタ,Ath Madrid,Aマドリード,3,2,0
1994,06/02/94,Logrones,ログローニョ,Tenerife,テネリフェ,1,2,2
1994,06/02/94,Real Madrid,Rマドリード,La Coruna,デポルティーボ,2,0,0
1994,06/02/94,Sevilla,セビージャ,Valladolid,バジャドリード,3,3,1
1994,06/02/94,Sociedad,ソシエダ,Osasuna,オサスナ,1,0,0
1994,06/02/94,Sp Gijon,スポルティング,Oviedo,オビエド,0,0,1
1994,06/02/94,Valencia,バレンシア,Santander,サンタンデール,2,1,0
1994,06/02/94,Vallecano,ラージョ,Lerida,リェイダ,1,2,2
1994,13/02/94,Ath Bilbao,ビルバオ,Vallecano,ラージョ,0,0,1
1994,13/02/94,Ath Madrid,Aマドリード,Sp Gijon,スポルティング,2,0,0
1994,13/02/94,La Coruna,デポルティーボ,Sevilla,セビージャ,2,0,0
1994,13/02/94,Lerida,リェイダ,Logrones,ログローニョ,1,1,1
1994,13/02/94,Osasuna,オサスナ,Albacete,アルバセテ,3,1,0
1994,13/02/94,Oviedo,オビエド,Real Madrid,Rマドリード,0,1,2
1994,13/02/94,Santander,サンタンデール,Celta,セルタ,2,1,0
1994,13/02/94,Tenerife,テネリフェ,Valencia,バレンシア,1,0,0
1994,13/02/94,Valladolid,バジャドリード,Sociedad,ソシエダ,0,0,1
1994,13/02/94,Zaragoza,サラゴサ,Barcelona,バルセロナ,6,3,0
1994,20/02/94,Albacete,アルバセテ,Valladolid,バジャドリード,1,1,1
1994,20/02/94,Barcelona,バルセロナ,Osasuna,オサスナ,8,1,0
1994,20/02/94,Celta,セルタ,Tenerife,テネリフェ,1,0,0
1994,20/02/94,Logrones,ログローニョ,Vallecano,ラージョ,1,1,1
1994,20/02/94,Real Madrid,Rマドリード,Ath Madrid,Aマドリード,1,0,0
1994,20/02/94,Sevilla,セビージャ,Oviedo,オビエド,2,0,0
1994,20/02/94,Sociedad,ソシエダ,La Coruna,デポルティーボ,0,1,2
1994,20/02/94,Sp Gijon,スポルティング,Santander,サンタンデール,0,2,2
1994,20/02/94,Valencia,バレンシア,Lerida,リェイダ,3,3,1
1994,20/02/94,Zaragoza,サラゴサ,Ath Bilbao,ビルバオ,1,0,0
1994,23/02/94,Ath Bilbao,ビルバオ,Logrones,ログローニョ,0,0,1
1994,23/02/94,Ath Madrid,Aマドリード,Sevilla,セビージャ,2,4,2
1994,23/02/94,La Coruna,デポルティーボ,Albacete,アルバセテ,5,1,0
1994,23/02/94,Lerida,リェイダ,Celta,セルタ,0,0,1
1994,23/02/94,Osasuna,オサスナ,Zaragoza,サラゴサ,0,0,1
1994,23/02/94,Oviedo,オビエド,Sociedad,ソシエダ,2,1,0
1994,23/02/94,Santander,サンタンデール,Real Madrid,Rマドリード,1,3,2
1994,23/02/94,Tenerife,テネリフェ,Sp Gijon,スポルティング,3,0,0
1994,23/02/94,Valladolid,バジャドリード,Barcelona,バルセロナ,1,3,2
1994,23/02/94,Vallecano,ラージョ,Valencia,バレンシア,1,1,1
1994,27/02/94,Albacete,アルバセテ,Oviedo,オビエド,5,0,0
1994,27/02/94,Barcelona,バルセロナ,La Coruna,デポルティーボ,3,0,0
1994,27/02/94,Celta,セルタ,Vallecano,ラージョ,0,0,1
1994,27/02/94,Osasuna,オサスナ,Ath Bilbao,ビルバオ,0,0,1
1994,27/02/94,Real Madrid,Rマドリード,Tenerife,テネリフェ,1,1,1
1994,27/02/94,Sevilla,セビージャ,Santander,サンタンデール,2,1,0
1994,27/02/94,Sociedad,ソシエダ,Ath Madrid,Aマドリード,2,1,0
1994,27/02/94,Sp Gijon,スポルティング,Lerida,リェイダ,1,1,1
1994,27/02/94,Valencia,バレンシア,Logrones,ログローニョ,3,1,0
1994,27/02/94,Zaragoza,サラゴサ,Valladolid,バジャドリード,2,0,0
1994,06/03/94,Ath Bilbao,ビルバオ,Valencia,バレンシア,2,1,0
1994,06/03/94,Ath Madrid,Aマドリード,Albacete,アルバセテ,0,0,1
1994,06/03/94,La Coruna,デポルティーボ,Zaragoza,サラゴサ,1,1,1
1994,06/03/94,Lerida,リェイダ,Real Madrid,Rマドリード,2,1,0
1994,06/03/94,Logrones,ログローニョ,Celta,セルタ,1,1,1
1994,06/03/94,Oviedo,オビエド,Barcelona,バルセロナ,1,3,2
1994,06/03/94,Santander,サンタンデール,Sociedad,ソシエダ,4,1,0
1994,06/03/94,Tenerife,テネリフェ,Sevilla,セビージャ,2,1,0
1994,06/03/94,Valladolid,バジャドリード,Osasuna,オサスナ,2,1,0
1994,06/03/94,Vallecano,ラージョ,Sp Gijon,スポルティング,2,1,0
1994,13/03/94,Albacete,アルバセテ,Santander,サンタンデール,3,0,0
1994,13/03/94,Barcelona,バルセロナ,Ath Madrid,Aマドリード,5,3,0
1994,13/03/94,Celta,セルタ,Valencia,バレンシア,1,2,2
1994,13/03/94,Osasuna,オサスナ,La Coruna,デポルティーボ,0,0,1
1994,13/03/94,Real Madrid,Rマドリード,Vallecano,ラージョ,5,2,0
1994,13/03/94,Sevilla,セビージャ,Lerida,リェイダ,2,1,0
1994,13/03/94,Sociedad,ソシエダ,Tenerife,テネリフェ,2,1,0
1994,13/03/94,Sp Gijon,スポルティング,Logrones,ログローニョ,1,2,2
1994,13/03/94,Valladolid,バジャドリード,Ath Bilbao,ビルバオ,1,1,1
1994,13/03/94,Zaragoza,サラゴサ,Oviedo,オビエド,2,1,0
1994,20/03/94,Ath Bilbao,ビルバオ,Celta,セルタ,2,1,0
1994,20/03/94,Ath Madrid,Aマドリード,Zaragoza,サラゴサ,0,4,2
1994,20/03/94,La Coruna,デポルティーボ,Valladolid,バジャドリード,0,0,1
1994,20/03/94,Lerida,リェイダ,Sociedad,ソシエダ,1,0,0
1994,20/03/94,Logrones,ログローニョ,Real Madrid,Rマドリード,3,4,2
1994,20/03/94,Oviedo,オビエド,Osasuna,オサスナ,1,0,0
1994,20/03/94,Santander,サンタンデール,Barcelona,バルセロナ,1,1,1
1994,20/03/94,Tenerife,テネリフェ,Albacete,アルバセテ,2,1,0
1994,20/03/94,Valencia,バレンシア,Sp Gijon,スポルティング,1,0,0
1994,20/03/94,Vallecano,ラージョ,Sevilla,セビージャ,2,1,0
1994,27/03/94,Albacete,アルバセテ,Lerida,リェイダ,2,1,0
1994,27/03/94,Barcelona,バルセロナ,Tenerife,テネリフェ,2,1,0
1994,27/03/94,La Coruna,デポルティーボ,Ath Bilbao,ビルバオ,4,1,0
1994,27/03/94,Osasuna,オサスナ,Ath Madrid,Aマドリード,0,1,2
1994,27/03/94,Real Madrid,Rマドリード,Valencia,バレンシア,3,2,0
1994,27/03/94,Sevilla,セビージャ,Logrones,ログローニョ,4,1,0
1994,27/03/94,Sociedad,ソシエダ,Vallecano,ラージョ,1,1,1
1994,27/03/94,Sp Gijon,スポルティング,Celta,セルタ,2,1,0
1994,27/03/94,Valladolid,バジャドリード,Oviedo,オビエド,0,0,1
1994,27/03/94,Zaragoza,サラゴサ,Santander,サンタンデール,2,0,0
1994,03/04/94,Ath Bilbao,ビルバオ,Sp Gijon,スポルティング,7,0,0
1994,03/04/94,Ath Madrid,Aマドリード,Valladolid,バジャドリード,2,0,0
1994,03/04/94,Celta,セルタ,Real Madrid,Rマドリード,3,2,0
1994,03/04/94,Lerida,リェイダ,Barcelona,バルセロナ,1,2,2
1994,03/04/94,Logrones,ログローニョ,Sociedad,ソシエダ,2,0,0
1994,03/04/94,Oviedo,オビエド,La Coruna,デポルティーボ,2,5,2
1994,03/04/94,Santander,サンタンデール,Osasuna,オサスナ,3,1,0
1994,03/04/94,Tenerife,テネリフェ,Zaragoza,サラゴサ,5,3,0
1994,03/04/94,Valencia,バレンシア,Sevilla,セビージャ,1,1,1
1994,03/04/94,Vallecano,ラージョ,Albacete,アルバセテ,0,0,1
1994,06/04/94,Albacete,アルバセテ,Logrones,ログローニョ,2,2,1
1994,06/04/94,Barcelona,バルセロナ,Vallecano,ラージョ,1,0,0
1994,06/04/94,La Coruna,デポルティーボ,Ath Madrid,Aマドリード,2,1,0
1994,06/04/94,Osasuna,オサスナ,Tenerife,テネリフェ,1,0,0
1994,06/04/94,Oviedo,オビエド,Ath Bilbao,ビルバオ,3,0,0
1994,06/04/94,Real Madrid,Rマドリード,Sp Gijon,スポルティング,2,2,1
1994,06/04/94,Sevilla,セビージャ,Celta,セルタ,4,1,0
1994,06/04/94,Sociedad,ソシエダ,Valencia,バレンシア,0,0,1
1994,06/04/94,Valladolid,バジャドリード,Santander,サンタンデール,0,3,2
1994,06/04/94,Zaragoza,サラゴサ,Lerida,リェイダ,1,1,1
1994,10/04/94,Ath Bilbao,ビルバオ,Real Madrid,Rマドリード,2,1,0
1994,10/04/94,Ath Madrid,Aマドリード,Oviedo,オビエド,0,3,2
1994,10/04/94,Celta,セルタ,Sociedad,ソシエダ,3,2,0
1994,10/04/94,Lerida,リェイダ,Osasuna,オサスナ,1,2,2
1994,10/04/94,Logrones,ログローニョ,Barcelona,バルセロナ,0,0,1
1994,10/04/94,Santander,サンタンデール,La Coruna,デポルティーボ,0,1,2
1994,10/04/94,Sp Gijon,スポルティング,Sevilla,セビージャ,0,1,2
1994,10/04/94,Tenerife,テネリフェ,Valladolid,バジャドリード,0,2,2
1994,10/04/94,Valencia,バレンシア,Albacete,アルバセテ,4,0,0
1994,10/04/94,Vallecano,ラージョ,Zaragoza,サラゴサ,1,2,2
1994,17/04/94,Albacete,アルバセテ,Celta,セルタ,0,4,2
1994,17/04/94,Ath Madrid,Aマドリード,Ath Bilbao,ビルバオ,4,2,0
1994,17/04/94,Barcelona,バルセロナ,Valencia,バレンシア,3,1,0
1994,17/04/94,La Coruna,デポルティーボ,Tenerife,テネリフェ,2,0,0
1994,17/04/94,Osasuna,オサスナ,Vallecano,ラージョ,1,1,1
1994,17/04/94,Oviedo,オビエド,Santander,サンタンデール,3,0,0
1994,17/04/94,Sevilla,セビージャ,Real Madrid,Rマドリード,0,1,2
1994,17/04/94,Sociedad,ソシエダ,Sp Gijon,スポルティング,0,1,2
1994,17/04/94,Valladolid,バジャドリード,Lerida,リェイダ,0,2,2
1994,17/04/94,Zaragoza,サラゴサ,Logrones,ログローニョ,1,1,1
1994,24/04/94,Ath Bilbao,ビルバオ,Sevilla,セビージャ,1,1,1
1994,24/04/94,Celta,セルタ,Barcelona,バルセロナ,0,4,2
1994,24/04/94,Lerida,リェイダ,La Coruna,デポルティーボ,0,0,1
1994,24/04/94,Logrones,ログローニョ,Osasuna,オサスナ,3,2,0
1994,24/04/94,Real Madrid,Rマドリード,Sociedad,ソシエダ,0,1,2
